STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT09,WT13,WT14,WT16,WT17,WT18,WT22
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/01/2012 12:00:00 AM,10.51,,,0,0,0,,55,41,100,90,19.9,25.1,,,,,,,,,1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/02/2012 12:00:00 AM,10.07,,,0.43,0,0,,51,37,180,200,29.1,40,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/03/2012 12:00:00 AM,5.14,,,0.03,0,0,,53,45,180,170,12.1,15,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/04/2012 12:00:00 AM,10.51,,,0.8,0,0,,54,42,180,190,23.9,33.1,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/05/2012 12:00:00 AM,13.65,,,0.05,0,0,,48,37,200,220,23.9,36.9,1,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/06/2012 12:00:00 AM,4.92,,,0.1,0,0,,40,36,180,180,10.1,14.1,1,,,,,,,,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/07/2012 12:00:00 AM,5.14,,,0,0,0,,45,37,170,180,12.1,14.1,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/08/2012 12:00:00 AM,4.47,,,0,0,0,,50,37,160,200,10.1,14.1,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/09/2012 12:00:00 AM,7.61,,,0.17,0,0,,49,41,200,200,15,19.9,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/10/2012 12:00:00 AM,7.61,,,0.04,0,0,,43,33,20,30,19.9,23.9,1,,,,,,,,,1,,,
